Time, X1, Y1, X2, Y2
0.000000, 0.000000, 0.000000, 198890000.000000, -1651000000.000000
60.000000, 0.026569, -0.218784, 203650095.177002, -1650451011.307720
120.000000, 0.107117, -0.875023, 208408491.815226, -1649888316.932382
180.000000, 0.242900, -1.968543, 213165150.481444, -1649311922.316474
240.000000, 0.435176, -3.499167, 217920031.761338, -1648721833.015528
300.000000, 0.685203, -5.466713, 222673096.259829, -1648118054.698042
360.000000, 0.994237, -7.870997, 227424304.601388, -1647500593.145412
420.000000, 1.363532, -10.711832, 232173617.430369, -1646869454.251850
480.000000, 1.794346, -13.989024, 236920995.411321, -1646224644.024317
540.000000, 2.287930, -17.702380, 241666399.229313, -1645566168.582438
600.000000, 2.845540, -21.851699, 246409789.590256, -1644894034.158428
660.000000, 3.468429, -26.436780, 251151127.221221, -1644208247.097017
720.000000, 4.157848, -31.457417, 255890372.870756, -1643508813.855362
780.000000, 4.915049, -36.913399, 260627487.309214, -1642795741.002976
840.000000, 5.741284, -42.804513, 265362431.329062, -1642069035.221640
900.000000, 6.637802, -49.130543, 270095165.745209, -1641328703.305326
960.000000, 7.605853, -55.891268, 274825651.395317, -1640574752.160109
1020.000000, 8.646686, -63.086464, 279553849.140124, -1639807188.804089
1080.000000, 9.761548, -70.715904, 284279719.863760, -1639026020.367300
1140.000000, 10.951688, -78.779355, 289003224.474064, -1638231254.091630
1200.000000, 12.218351, -87.276585, 293724323.902904, -1637422897.330731
1260.000000, 13.562783, -96.207353, 298442979.106489, -1636600957.549933
1320.000000, 14.986230, -105.571419, 303159151.065688, -1635765442.326155
1380.000000, 16.489935, -115.368537, 307872800.786348, -1634916359.347818
1440.000000, 18.075141, -125.598458, 312583889.299604, -1634053716.414751
1500.000000, 19.743092, -136.260930, 317292377.662200, -1633177521.438105
1560.000000, 21.495028, -147.355696, 321998226.956802, -1632287782.440258
1620.000000, 23.332191, -158.882497, 326701398.292311, -1631384507.554723
1680.000000, 25.255821, -170.841070, 331401852.804177, -1630467705.026055
1740.000000, 27.267157, -183.231147, 336099551.654717, -1629537383.209755
1800.000000, 29.367437, -196.052460, 340794456.033422, -1628593550.572180
1860.000000, 31.557899, -209.304733, 345486527.157276, -1627636215.690439
1920.000000, 33.839779, -222.987690, 350175726.271064, -1626665387.252302
1980.000000, 36.214312, -237.101050, 354862014.647686, -1625681074.056102
2040.000000, 38.682735, -251.644528, 359545353.588472, -1624683285.010634
2100.000000, 41.246279, -266.617837, 364225704.423485, -1623672029.135054
2160.000000, 43.906179, -282.020685, 368903028.511843, -1622647315.558784
2220.000000, 46.663666, -297.852777, 373577287.242021, -1621609153.521406
2280.000000, 49.519971, -314.113815, 378248442.032163, -1620557552.372564
2340.000000, 52.476325, -330.803497, 382916454.330397, -1619492521.571856
2400.000000, 55.533956, -347.921518, 387581285.615137, -1618414070.688736
2460.000000, 58.694092, -365.467568, 392242897.395397, -1617322209.402404
2520.000000, 61.957961, -383.441334, 396901251.211098, -1616216947.501705
2580.000000, 65.326789, -401.842502, 401556308.633377, -1615098294.885019
2640.000000, 68.801801, -420.670752, 406208031.264894, -1613966261.560158
2700.000000, 72.384220, -439.925760, 410856380.740138, -1612820857.644254
2760.000000, 76.075271, -459.607201, 415501318.725738, -1611662093.363653
